Epoch 1/1000, Train Loss: 6.118845, Val Loss: 9.276273, LR: 1.00e-03
Epoch 65/1000, Train Loss: 4.205568, Val Loss: 10.176457, LR: 9.00e-04
Epoch 66/1000, Train Loss: 4.503108, Val Loss: 9.818467, LR: 9.00e-04
Epoch 67/1000, Train Loss: 4.407638, Val Loss: 9.587182, LR: 9.00e-04
Epoch 68/1000, Train Loss: 5.065803, Val Loss: 10.818995, LR: 9.00e-04
Epoch 69/1000, Train Loss: 4.866522, Val Loss: 9.601686, LR: 9.00e-04
Epoch 70/1000, Train Loss: 4.765098, Val Loss: 9.369997, LR: 9.00e-04
Epoch 71/1000, Train Loss: 4.227841, Val Loss: 9.343019, LR: 9.00e-04
Epoch 72/1000, Train Loss: 3.919326, Val Loss: 8.997666, LR: 9.00e-04
Epoch 73/1000, Train Loss: 4.354045, Val Loss: 10.152317, LR: 9.00e-04
Epoch 74/1000, Train Loss: 4.794213, Val Loss: 9.309271, LR: 9.00e-04
Epoch 75/1000, Train Loss: 4.881009, Val Loss: 9.393150, LR: 9.00e-04
Epoch 76/1000, Train Loss: 4.092385, Val Loss: 9.178988, LR: 9.00e-04
Epoch 77/1000, Train Loss: 4.293505, Val Loss: 10.154167, LR: 9.00e-04
Epoch 78/1000, Train Loss: 4.846123, Val Loss: 10.628683, LR: 9.00e-04
Epoch 79/1000, Train Loss: 4.200729, Val Loss: 9.240957, LR: 9.00e-04
Epoch 80/1000, Train Loss: 4.034180, Val Loss: 9.066010, LR: 9.00e-04
Epoch 81/1000, Train Loss: 3.950749, Val Loss: 9.141555, LR: 9.00e-04
Epoch 82/1000, Train Loss: 4.142058, Val Loss: 9.138407, LR: 8.10e-04
Epoch 83/1000, Train Loss: 3.650677, Val Loss: 9.004732, LR: 8.10e-04
Epoch 84/1000, Train Loss: 3.980295, Val Loss: 9.162921, LR: 8.10e-04
Epoch 85/1000, Train Loss: 4.232807, Val Loss: 8.796958, LR: 8.10e-04
Epoch 86/1000, Train Loss: 4.501526, Val Loss: 9.524304, LR: 8.10e-04
Epoch 87/1000, Train Loss: 4.762303, Val Loss: 9.191652, LR: 8.10e-04
Epoch 88/1000, Train Loss: 4.066266, Val Loss: 9.664635, LR: 8.10e-04
Epoch 89/1000, Train Loss: 4.626701, Val Loss: 9.231195, LR: 8.10e-04
Epoch 90/1000, Train Loss: 4.218812, Val Loss: 9.582676, LR: 8.10e-04
Epoch 91/1000, Train Loss: 4.381267, Val Loss: 9.901674, LR: 8.10e-04
Epoch 92/1000, Train Loss: 4.362083, Val Loss: 8.901376, LR: 8.10e-04
Epoch 93/1000, Train Loss: 3.949836, Val Loss: 10.672417, LR: 8.10e-04
Epoch 94/1000, Train Loss: 3.844524, Val Loss: 9.738866, LR: 8.10e-04
Epoch 95/1000, Train Loss: 3.882403, Val Loss: 10.245554, LR: 8.10e-04
Epoch 96/1000, Train Loss: 3.902495, Val Loss: 9.570262, LR: 8.10e-04
Epoch 97/1000, Train Loss: 4.002363, Val Loss: 11.331531, LR: 8.10e-04
Epoch 98/1000, Train Loss: 3.822332, Val Loss: 10.164191, LR: 8.10e-04
Epoch 99/1000, Train Loss: 4.429002, Val Loss: 8.919526, LR: 8.10e-04
Epoch 100/1000, Train Loss: 3.647293, Val Loss: 8.723977, LR: 8.10e-04
Epoch 101/1000, Train Loss: 3.937661, Val Loss: 10.039975, LR: 8.10e-04
Epoch 102/1000, Train Loss: 4.335455, Val Loss: 10.137899, LR: 8.10e-04
Epoch 103/1000, Train Loss: 4.127417, Val Loss: 9.512093, LR: 7.29e-04
Epoch 104/1000, Train Loss: 4.190410, Val Loss: 9.455426, LR: 7.29e-04
Epoch 105/1000, Train Loss: 3.802962, Val Loss: 9.647119, LR: 7.29e-04
Epoch 106/1000, Train Loss: 4.109475, Val Loss: 9.349881, LR: 7.29e-04
Epoch 107/1000, Train Loss: 3.914839, Val Loss: 9.239125, LR: 7.29e-04
Epoch 108/1000, Train Loss: 3.731480, Val Loss: 9.592123, LR: 7.29e-04
Epoch 109/1000, Train Loss: 3.418716, Val Loss: 9.752911, LR: 7.29e-04
Epoch 110/1000, Train Loss: 3.690293, Val Loss: 9.521219, LR: 7.29e-04
Epoch 111/1000, Train Loss: 3.542831, Val Loss: 8.946757, LR: 7.29e-04
Early stopping triggered after 111 epochs
